Date,Time,Colony ID,Queen Weight,Estimated Weight,DeployDay,Bladder removed,Colony Weight (g),Bladder Weight (g),Workers_alive,Workers_dead,Queen-Right,Queen-Right-alpha,Other Bees,honeybee_dead,Compounding_Psythirus_count,Psythirus PA-alpha,Psythirus PA,Pollen Collected (Y/N),Site Location,Notes,Collector,Page Number,More Notes,outside box,inside box,Estimated Weight,Weight Change,Weight Change 0,Avg_Weight_Change,Gynes (P/A),Drones (P/A),Workers removed (weight)
 06/22,10:31pm,HUN064,0.415,1843,0,0,532,2285,4,0,0,b,0,0,1,a,1,Y,NHB0,"1 psith queen, 1 dead huntii queen",AT,,,1311,532,1843,1,1,1,,,
 07/01,,HUN003,0.32,1758,1,0,479,,5,0,1,a,0,0,0,b,0,N,NHB0,Deploy date 07/01,AT,11,,,,1758,0,0,,,,
 07/01,,HUN020,0.88,1763,1,0,,,5,0,1,a,0,0,0,b,0,N,NHB0,Deploy date 07/01,AT,11,,1263,490,1763,0,0,,,,
 07/01,,HUN038,0.362,1756,1,0,503,,5,0,1,a,0,0,0,b,0,N,HB0,"Deploy date 07/01, pollen trap atached",AT,12,,1253,497,1756,0,0,,,,
 07/01,,HUN049,0.489,1828,1,0,1828,,5,,1,a,0,0,0,b,0,N,HB0,"Deploy date 07/01, pollen trap atached",AT,12,,1317,,1828,0,0,,,,
 07/01,,HUN053,0.376,1778,1,0,511,NA,5,0,1,a,0,0,0,b,0,N,NHB0,Deploy date 07/01,AT,11,,1267,511,1778,0,0,,,,
 07/01,,HUN069,0.366,1764,1,0,484,NA,5,,1,a,0,0,0,b,0,N,NHB0,Deploy date 07/01,AT,11,,1280,,1764,0,0,,,,
 07/01,,HUN079,0.564,1706,1,0,402,NA,5,0,1,a,0,0,0,b,0,N,HB0,"Deploy date 07/01, pollen trap atached",AT,12,,1304,,1706,0,0,,,,
 07/09,9:30pm,HUN003,0.32,1775,0,0,1775,2217,10,0,1,a,0,0,0,b,0,N,NHB0,"10 workers, healthy queen, excluder working",JT,15,,,,1775,17,17,,,,
 07/09,9:30pm,HUN020,0.88,1766,0,0,1766,2344,15,0,1,a,0,0,0,b,0,N,NHB0,"healthy queen, 15 workers, excluder working",JT,15,,1263,490,1766,3,3,,,,
 07/09,11:15pm,HUN038,0.362,1762,0,0,1762,2323,6,0,1,a,0,0,0,b,0,N,HB0,"huntii queen alive, 6 huntii workers",JT,17,,1253,497,1762,6,6,,,,
 07/09,11:15pm,HUN049,0.489,1828,0,0,1828,1972,20,0,1,a,0,0,0,b,0,N,HB0,"huntii queen alive, >20, healthy",JT,17,,1317,,1828,0,0,,,,
 07/09,9:30pm,HUN053,0.376,1782,0,0,1782,2433,15,0,1,a,0,0,0,b,0,N,NHB0,"healthy queen, about 15 huntii workers, excluder works!",JT,15,,1267,511,1782,4,4,,,,
 07/09,9:30pm,HUN069,0.366,1770,0,0,1770,2022,20,0,1,a,0,0,0,b,0,N,NHB0,"healthy queen, 20 workers, excluder works!",JT,15,,1280,,1770,6,6,,,,
 07/09,11:15pm,HUN079,0.564,1701,0,0,1701,2159,10,0,1,a,0,0,0,b,0,N,HB0,"huntii queen, 10 huntii workers",JT,17,,1304,,1701,,0,,,,
